Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,31,0
IMf20_,BillClintonEstimator,"('Send Reminder',)",2,0.0,0,475,0
IMf20_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,31,0
IMf20_,AlignmentEstimator,"('Send Reminder',)",2,0.0,0,475,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",2,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",3,0.0,0,0,0
Alpha+_,BillClintonEstimator,"('Send Reminder',)",4,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",2,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",3,0.0,0,0,0
Alpha+_,AlignmentEstimator,"('Send Reminder',)",4,0.0,0,0,0
Flower_,BillClintonEstimator,"('Send Reminder',)",1,0.0,0,34,0
Flower_,BillClintonEstimator,"('Send Reminder',)",2,0.0,0,595,0
Flower_,BillClintonEstimator,"('Send Reminder',)",3,0.0,0,6579,0
Flower_,AlignmentEstimator,"('Send Reminder',)",1,0.0,0,34,0
Flower_,AlignmentEstimator,"('Send Reminder',)",2,0.0,0,595,0
Flower_,AlignmentEstimator,"('Send Reminder',)",3,0.0,0,6579,0
