Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
IMf20_,BillClintonEstimator,"('Payment_Handled',)",1,0.0,0.0,15,1.0
IMf20_,BillClintonEstimator,"('Payment_Handled',)",2,0.0,0.0,114,1.0000000000000002
IMf20_,BillClintonEstimator,"('Payment_Handled',)",3,0.0,0.0,495,1.0000000000000002
IMf20_,BillClintonEstimator,"('Payment_Handled',)",4,0.0,0.0,1449,1.0000000000000004
IMf20_,AlignmentEstimator,"('Payment_Handled',)",1,0.0,0.0,13,1.0
IMf20_,AlignmentEstimator,"('Payment_Handled',)",2,0.0,0.0,88,1.0000000000000002
IMf20_,AlignmentEstimator,"('Payment_Handled',)",3,0.0,0.0,343,1.0000000000000002
IMf20_,AlignmentEstimator,"('Payment_Handled',)",4,0.0,0.0,913,1.0000000000000002
Heuristic_,BillClintonEstimator,"('Payment_Handled',)",1,0.0,0.0,2,1.0
Heuristic_,BillClintonEstimator,"('Payment_Handled',)",2,0.0,0.0,3,1.0
Heuristic_,BillClintonEstimator,"('Payment_Handled',)",3,0.0,0.0,3,0.0
Heuristic_,BillClintonEstimator,"('Payment_Handled',)",4,0.0,0.0,3,0.0
Heuristic_,AlignmentEstimator,"('Payment_Handled',)",1,0.0,0.0,2,1.0
Heuristic_,AlignmentEstimator,"('Payment_Handled',)",2,0.0,0.0,3,1.0
Heuristic_,AlignmentEstimator,"('Payment_Handled',)",3,0.0,0.0,3,0.0
Heuristic_,AlignmentEstimator,"('Payment_Handled',)",4,0.0,0.0,3,0.0
Flower_,BillClintonEstimator,"('Payment_Handled',)",1,5.965760073242755e-09,9.545216117188408e-08,16,0.9999999801807665
Flower_,BillClintonEstimator,"('Payment_Handled',)",2,6.5450545546661664e-09,8.901274194345986e-07,136,0.9999999999940834
Flower_,BillClintonEstimator,"('Payment_Handled',)",3,6.067109027342552e-09,4.222707883030416e-06,696,0.9999999999999978
Flower_,BillClintonEstimator,"('Payment_Handled',)",4,5.357270763523767e-09,1.3478893241025798e-05,2516,1.0000000000000016
Flower_,AlignmentEstimator,"('Payment_Handled',)",1,0.007897862601106085,0.12636580161769737,16,0.7387665382349666
Flower_,AlignmentEstimator,"('Payment_Handled',)",2,0.002518428867067788,0.34250632592121916,136,0.8664716336291068
Flower_,AlignmentEstimator,"('Payment_Handled',)",3,0.0007139648489835556,0.49691953489255475,696,0.9317443698839987
Flower_,AlignmentEstimator,"('Payment_Handled',)",4,0.0002211864748509,0.5553992383506099,2511,0.9645288802606482
Alpha+_,BillClintonEstimator,"('Payment_Handled',)",1,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('Payment_Handled',)",2,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('Payment_Handled',)",3,0.0,0.0,1,0.0
Alpha+_,BillClintonEstimator,"('Payment_Handled',)",4,0.0,0.0,1,0.0
Alpha+_,AlignmentEstimator,"('Payment_Handled',)",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Payment_Handled',)",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Payment_Handled',)",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('Payment_Handled',)",4,0.0,0.0,0,0.0
