Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC
IMf20_,BillClintonEstimator,"('Payment Handled',)",1,0.0,0,16
IMf20_,AlignmentEstimator,"('Payment Handled',)",1,0.0,0,14
Alpha+_,BillClintonEstimator,"('Payment Handled',)",1,0.0,0,1
Alpha+_,BillClintonEstimator,"('Payment Handled',)",2,0.0,0,1
Alpha+_,BillClintonEstimator,"('Payment Handled',)",3,0.0,0,1
Alpha+_,BillClintonEstimator,"('Payment Handled',)",4,0.0,0,1
Alpha+_,AlignmentEstimator,"('Payment Handled',)",1,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled',)",2,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled',)",3,0.0,0,0
Alpha+_,AlignmentEstimator,"('Payment Handled',)",4,0.0,0,0
Heuristic_,BillClintonEstimator,"('Payment Handled',)",1,0.0,0,3
Heuristic_,BillClintonEstimator,"('Payment Handled',)",2,0.0,0,6
Heuristic_,BillClintonEstimator,"('Payment Handled',)",3,0.0,0,7
Heuristic_,BillClintonEstimator,"('Payment Handled',)",4,0.0,0,7
Heuristic_,AlignmentEstimator,"('Payment Handled',)",1,0.0,0,3
Heuristic_,AlignmentEstimator,"('Payment Handled',)",2,0.0,0,6
Heuristic_,AlignmentEstimator,"('Payment Handled',)",3,0.0,0,7
Heuristic_,AlignmentEstimator,"('Payment Handled',)",4,0.0,0,7
Flower_,BillClintonEstimator,"('Payment Handled',)",1,0.0,0,17
Flower_,AlignmentEstimator,"('Payment Handled',)",1,0.0,0,17
